Experiment,i,Mass,Coupling,Signal_Strength
ND280UPGRD,39,2.000000e+00,4.641589e-07,0.001392
ND280UPGRD,27,6.161550e-01,2.782559e-07,3.520181
ND280UPGRD,19,2.000000e+00,1.668101e-07,0.000123
ND280UPGRD,17,6.161550e-01,1.668101e-07,2.628362
ND280UPGRD,5,1.898235e-01,1.000000e-07,0.516490
ND280UPGRD,15,1.898235e-01,1.668101e-07,4.048372
ND280UPGRD,6,3.419952e-01,1.000000e-07,1.189473
ND280UPGRD,45,1.898235e-01,7.742637e-07,1068.301566
ND280UPGRD,25,1.898235e-01,2.782559e-07,31.392670
ND280UPGRD,7,6.161550e-01,1.000000e-07,1.030884
ND280UPGRD,35,1.898235e-01,4.641589e-07,228.506424
ND280UPGRD,26,3.419952e-01,2.782559e-07,49.279321
ND280UPGRD,8,1.110095e+00,1.000000e-07,0.058994
ND280UPGRD,36,3.419952e-01,4.641589e-07,111.384367
ND280UPGRD,44,1.053610e-01,7.742637e-07,835.604962
ND280UPGRD,21,1.801648e-02,2.782559e-07,0.098738
ND280UPGRD,14,1.053610e-01,1.668101e-07,1.828068
ND280UPGRD,34,1.053610e-01,4.641589e-07,109.231692
ND280UPGRD,4,1.053610e-01,1.000000e-07,0.235867
ND280UPGRD,43,5.848035e-02,7.742637e-07,195.412228
ND280UPGRD,24,1.053610e-01,2.782559e-07,14.122269
ND280UPGRD,33,5.848035e-02,4.641589e-07,32.293401
ND280UPGRD,13,5.848035e-02,1.668101e-07,0.538763
ND280UPGRD,3,5.848035e-02,1.000000e-07,0.069586
ND280UPGRD,20,1.000000e-02,2.782559e-07,0.011615
ND280UPGRD,32,3.245936e-02,4.641589e-07,5.477272
ND280UPGRD,10,1.000000e-02,1.668101e-07,0.001500
ND280UPGRD,11,1.801648e-02,1.668101e-07,0.012752
ND280UPGRD,23,5.848035e-02,2.782559e-07,4.171259
ND280UPGRD,12,3.245936e-02,1.668101e-07,0.091271
ND280UPGRD,40,1.000000e-02,7.742637e-07,0.696281
ND280UPGRD,22,3.245936e-02,2.782559e-07,0.707426
ND280UPGRD,42,3.245936e-02,7.742637e-07,35.345554
ND280UPGRD,2,3.245936e-02,1.000000e-07,0.011788
ND280UPGRD,0,1.000000e-02,1.000000e-07,0.000164
ND280UPGRD,31,1.801648e-02,4.641589e-07,0.764492
ND280UPGRD,41,1.801648e-02,7.742637e-07,5.919159
ND280UPGRD,1,1.801648e-02,1.000000e-07,0.001359
ND280UPGRD,30,1.000000e-02,4.641589e-07,0.089927
ND280UPGRD,49,2.000000e+00,7.742637e-07,0.004034
ND280UPGRD,48,1.110095e+00,7.742637e-07,0.240385
TPC2,9,2.000000e+00,1.000000e-07,0.000042
TPC2,6,3.419952e-01,1.000000e-07,1.190864
TPC2,5,1.898235e-01,1.000000e-07,0.496672
TPC2,8,1.110095e+00,1.000000e-07,0.049987
TPC2,7,6.161550e-01,1.000000e-07,0.881051
TPC2,15,1.898235e-01,1.668101e-07,3.802168
TPC2,19,2.000000e+00,1.668101e-07,0.000250
TPC2,18,1.110095e+00,1.668101e-07,0.011314
TPC2,4,1.053610e-01,1.000000e-07,0.216918
TPC2,16,3.419952e-01,1.668101e-07,8.430738
TPC2,17,6.161550e-01,1.668101e-07,2.591545
TPC2,28,1.110095e+00,2.782559e-07,0.024813
TPC2,14,1.053610e-01,1.668101e-07,1.679632
TPC2,26,3.419952e-01,2.782559e-07,43.135288
TPC2,29,2.000000e+00,2.782559e-07,0.000201
TPC2,27,6.161550e-01,2.782559e-07,4.002707
TPC2,25,1.898235e-01,2.782559e-07,28.231212
TPC2,0,1.000000e-02,1.000000e-07,0.000200
TPC2,1,1.801648e-02,1.000000e-07,0.001683
TPC2,13,5.848035e-02,1.668101e-07,0.531252
TPC2,3,5.848035e-02,1.000000e-07,0.068616
TPC2,12,3.245936e-02,1.668101e-07,0.089025
TPC2,39,2.000000e+00,4.641589e-07,0.001838
TPC2,24,1.053610e-01,2.782559e-07,13.017383
TPC2,37,6.161550e-01,4.641589e-07,1.668969
TPC2,2,3.245936e-02,1.000000e-07,0.011498
TPC2,35,1.898235e-01,4.641589e-07,204.011080
TPC2,38,1.110095e+00,4.641589e-07,0.088153
TPC2,22,3.245936e-02,2.782559e-07,0.692065
TPC2,36,3.419952e-01,4.641589e-07,117.594556
